group,dataset,relative_path,object_name,rows,columns,country_name_column,country_code_column,year_column,missing_cells,column_names_json,dtypes_json
cross_section,CCCD_avg2010_19,cross-section/data/CCCD_avg2010_19.rds,CCCD_avg2010_19,169,15,cname,iso3c,,38,"[""cname"", ""iso3c"", ""cc_alt_cp"", ""cc_alt_cp_lv"", ""cc_basic"", ""cc_basic_lv"", ""cc_civil"", ""cc_civil_lv"", ""cc_polit"", ""cc_polit_lv"", ""cc_prop"", ""cc_prop_lv"", ""cc_total"", ""cc_total_lv"", ""dj_index""]","{""cc_alt_cp"": ""float64"", ""cc_alt_cp_lv"": ""float64"", ""cc_basic"": ""float64"", ""cc_basic_lv"": ""float64"", ""cc_civil"": ""float64"", ""cc_civil_lv"": ""float64"", ""cc_polit"": ""float64"", ""cc_polit_lv"": ""float64"", ""cc_prop"": ""float64"", ""cc_prop_lv"": ""float64"", ""cc_total"": ""float64"", ""cc_total_lv"": ""float64"", ""cname"": ""str"", ""dj_index"": ""float64"", ""iso3c"": ""str""}"
cross_section,CCCD_detailed_avg2010_19,cross-section/data/CCCD_detailed_avg2010_19.rds,CCCD_detailed_avg2010_19,178,77,,Country Code,,1030,"[""Country Code"", ""dj_right_assembly"", ""dj_right_association"", ""dj_right_censorship"", ""dj_right_death"", ""dj_right_equal"", ""dj_right_expression"", ""dj_right_freepress"", ""dj_right_life"", ""dj_right_movement"", ""dj_right_opinion"", ""dj_right_parties"", ""dj_right_prop_int"", ""dj_right_property"", ""dj_right_religion"", ""dj_right_slavery"", ""dj_right_torture"", ""dj_state_exprop"", ""dj_state_judind"", ""dj_state_rol"", ""df_right_assembly"", ""df_right_association"", ""df_right_equal"", ""df_right_life"", ""df_right_media"", ""df_right_movement"", ""df_right_parties"", ""df_right_property"", ""df_right_religion"", ""df_right_slavery"", ""df_right_speech"", ""df_right_torture"", ""df_state_judind"", ""df_state_rol"", ""gap_right_assembly"", ""gap_right_assembly_lv"", ""gap_right_association"", ""gap_right_association_lv"", ""gap_right_equal"", ""gap_right_equal_lv"", ""gap_right_life"", ""gap_right_life_lv"", ""gap_right_media"", ""gap_right_media_lv"", ""gap_right_movement"", ""gap_right_movement_lv"", ""gap_right_parties"", ""gap_right_parties_lv"", ""gap_right_property"", ""gap_right_property_lv"", ""gap_right_religion"", ""gap_right_religion_lv"", ""gap_right_slavery"", ""gap_right_slavery_lv"", ""gap_right_speech"", ""gap_right_speech_lv"", ""gap_right_torture"", ""gap_right_torture_lv"", ""gap_state_judind"", ""gap_state_judind_lv"", ""gap_state_rol"", ""gap_state_rol_lv"", ""cc_alt_cp"", ""cc_alt_cp_lv"", ""cc_basic"", ""cc_basic_lv"", ""cc_civil"", ""cc_civil_lv"", ""cc_polit"", ""cc_polit_lv"", ""cc_prop"", ""cc_prop_lv"", ""cc_total"", ""cc_total_lv"", ""vdem_respect_const"", ""vdem_respect_const_ord"", ""dj_index""]","{""Country Code"": ""str"", ""cc_alt_cp"": ""float64"", ""cc_alt_cp_lv"": ""float64"", ""cc_basic"": ""float64"", ""cc_basic_lv"": ""float64"", ""cc_civil"": ""float64"", ""cc_civil_lv"": ""float64"", ""cc_polit"": ""float64"", ""cc_polit_lv"": ""float64"", ""cc_prop"": ""float64"", ""cc_prop_lv"": ""float64"", ""cc_total"": ""float64"", ""cc_total_lv"": ""float64"", ""df_right_assembly"": ""float64"", ""df_right_association"": ""float64"", ""df_right_equal"": ""float64"", ""df_right_life"": ""float64"", ""df_right_media"": ""float64"", ""df_right_movement"": ""float64"", ""df_right_parties"": ""float64"", ""df_right_property"": ""float64"", ""df_right_religion"": ""float64"", ""df_right_slavery"": ""float64"", ""df_right_speech"": ""float64"", ""df_right_torture"": ""float64"", ""df_state_judind"": ""float64"", ""df_state_rol"": ""float64"", ""dj_index"": ""float64"", ""dj_right_assembly"": ""float64"", ""dj_right_association"": ""float64"", ""dj_right_censorship"": ""float64"", ""dj_right_death"": ""float64"", ""dj_right_equal"": ""float64"", ""dj_right_expression"": ""float64"", ""dj_right_freepress"": ""float64"", ""dj_right_life"": ""float64"", ""dj_right_movement"": ""float64"", ""dj_right_opinion"": ""float64"", ""dj_right_parties"": ""float64"", ""dj_right_prop_int"": ""float64"", ""dj_right_property"": ""float64"", ""dj_right_religion"": ""float64"", ""dj_right_slavery"": ""float64"", ""dj_right_torture"": ""float64"", ""dj_state_exprop"": ""float64"", ""dj_state_judind"": ""float64"", ""dj_state_rol"": ""float64"", ""gap_right_assembly"": ""float64"", ""gap_right_assembly_lv"": ""float64"", ""gap_right_association"": ""float64"", ""gap_right_association_lv"": ""float64"", ""gap_right_equal"": ""float64"", ""gap_right_equal_lv"": ""float64"", ""gap_right_life"": ""float64"", ""gap_right_life_lv"": ""float64"", ""gap_right_media"": ""float64"", ""gap_right_media_lv"": ""float64"", ""gap_right_movement"": ""float64"", ""gap_right_movement_lv"": ""float64"", ""gap_right_parties"": ""float64"", ""gap_right_parties_lv"": ""float64"", ""gap_right_property"": ""float64"", ""gap_right_property_lv"": ""float64"", ""gap_right_religion"": ""float64"", ""gap_right_religion_lv"": ""float64"", ""gap_right_slavery"": ""float64"", ""gap_right_slavery_lv"": ""float64"", ""gap_right_speech"": ""float64"", ""gap_right_speech_lv"": ""float64"", ""gap_right_torture"": ""float64"", ""gap_right_torture_lv"": ""float64"", ""gap_state_judind"": ""float64"", ""gap_state_judind_lv"": ""float64"", ""gap_state_rol"": ""float64"", ""gap_state_rol_lv"": ""float64"", ""vdem_respect_const"": ""float64"", ""vdem_respect_const_ord"": ""float64""}"
cross_section,CCCD_growth_final,cross-section/data/CCCD_growth_final.rds,CCCD_growth_final,169,5,,Country Code,,36,"[""Country Code"", ""cc_total_growth"", ""cc_basic_growth"", ""cc_polit_growth"", ""cc_prop_growth""]","{""Country Code"": ""str"", ""cc_basic_growth"": ""float64"", ""cc_polit_growth"": ""float64"", ""cc_prop_growth"": ""float64"", ""cc_total_growth"": ""float64""}"
cross_section,Democracy_avg2010_19,cross-section/data/Democracy_avg2010_19.rds,Democracy_avg2010_19,179,7,country_name,country_text_id,,0,"[""country_name"", ""country_text_id"", ""v2x_libdem"", ""v2x_polyarchy"", ""v2x_delibdem"", ""v2x_partipdem"", ""v2x_egaldem""]","{""country_name"": ""str"", ""country_text_id"": ""str"", ""v2x_delibdem"": ""float64"", ""v2x_egaldem"": ""float64"", ""v2x_libdem"": ""float64"", ""v2x_partipdem"": ""float64"", ""v2x_polyarchy"": ""float64""}"
cross_section,GDPpc_current_initial_Data,cross-section/data/GDPpc_current_initial_Data.rds,GDPpc_current_initial_Data,265,3,Country Name,Country Code,,4,"[""Country Name"", ""Country Code"", ""GDP per capita in 2010 (current USD)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""GDP per capita in 2010 (current USD)"": ""float64""}"
cross_section,GDPpc_initial_in_2015usd_Data,cross-section/data/GDPpc_initial_in_2015usd_Data.rds,GDPpc_initial_in_2015usd_Data,265,3,Country Name,Country Code,,9,"[""Country Name"", ""Country Code"", ""GDP per capita in 2010 (constant 2015 USD)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""GDP per capita in 2010 (constant 2015 USD)"": ""float64""}"
cross_section,cc_growth_yty,cross-section/data/cc_growth_yty.rds,cc_growth_yty,167,5,,Country Code,,7,"[""Country Code"", ""cc_total_growth_yty"", ""cc_basic_growth_yty"", ""cc_polit_growth_yty"", ""cc_prop_growth_yty""]","{""Country Code"": ""str"", ""cc_basic_growth_yty"": ""float64"", ""cc_polit_growth_yty"": ""float64"", ""cc_prop_growth_yty"": ""float64"", ""cc_total_growth_yty"": ""float64""}"
cross_section,edu_initial_Data,cross-section/data/edu_initial_Data.rds,edu_initial_Data,265,3,Country Name,Country Code,,79,"[""Country Name"", ""Country Code"", ""School enrollment in 2010, tertiary (gross %)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""School enrollment in 2010, tertiary (gross %)"": ""float64""}"
cross_section,fertility_Data,cross-section/data/fertility_Data.rds,fertility_Data,265,3,Country Name,Country Code,,4,"[""Country Name"", ""Country Code"", ""Fertility rate, total (births per woman)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Fertility rate, total (births per woman)"": ""float64""}"
cross_section,gdp_growth_Data,cross-section/data/gdp_growth_Data.rds,gdp_growth_Data,265,3,Country Name,Country Code,,4,"[""Country Name"", ""Country Code"", ""GDP_growth""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""GDP_growth"": ""float64""}"
cross_section,geo_cepii,cross-section/data/geo_cepii.dta,geo_cepii,238,34,,iso3,,5,"[""iso2"", ""iso3"", ""cnum"", ""country"", ""pays"", ""area"", ""dis_int"", ""landlocked"", ""continent"", ""city_en"", ""city_fr"", ""lat"", ""lon"", ""cap"", ""maincity"", ""citynum"", ""langoff_1"", ""langoff_2"", ""langoff_3"", ""lang20_1"", ""lang20_2"", ""lang20_3"", ""lang20_4"", ""lang9_1"", ""lang9_2"", ""lang9_3"", ""lang9_4"", ""colonizer1"", ""colonizer2"", ""colonizer3"", ""colonizer4"", ""short_colonizer1"", ""short_colonizer2"", ""short_colonizer3""]","{""area"": ""int32"", ""cap"": ""int8"", ""city_en"": ""str"", ""city_fr"": ""str"", ""citynum"": ""float32"", ""cnum"": ""int16"", ""colonizer1"": ""str"", ""colonizer2"": ""str"", ""colonizer3"": ""str"", ""colonizer4"": ""str"", ""continent"": ""str"", ""country"": ""str"", ""dis_int"": ""float32"", ""iso2"": ""str"", ""iso3"": ""str"", ""landlocked"": ""float32"", ""lang20_1"": ""str"", ""lang20_2"": ""str"", ""lang20_3"": ""str"", ""lang20_4"": ""str"", ""lang9_1"": ""str"", ""lang9_2"": ""str"", ""lang9_3"": ""str"", ""lang9_4"": ""str"", ""langoff_1"": ""str"", ""langoff_2"": ""str"", ""langoff_3"": ""str"", ""lat"": ""float32"", ""lon"": ""float32"", ""maincity"": ""int8"", ""pays"": ""str"", ""short_colonizer1"": ""str"", ""short_colonizer2"": ""str"", ""short_colonizer3"": ""str""}"
cross_section,gov_exp_Data,cross-section/data/gov_exp_Data.rds,gov_exp_Data,265,3,Country Name,Country Code,,39,"[""Country Name"", ""Country Code"", ""General government final consumption expenditure (% of GDP)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""General government final consumption expenditure (% of GDP)"": ""float64""}"
cross_section,gov_exp_edu_Data,cross-section/data/gov_exp_edu_Data.rds,gov_exp_edu_Data,265,3,Country Name,Country Code,,31,"[""Country Name"", ""Country Code"", ""Government expenditure on education, total (% of GDP)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Government expenditure on education, total (% of GDP)"": ""float64""}"
cross_section,gov_milit_exp_Data,cross-section/data/gov_milit_exp_Data.rds,gov_milit_exp_Data,265,3,Country Name,Country Code,,60,"[""Country Name"", ""Country Code"", ""Military expenditure (% of GDP)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Military expenditure (% of GDP)"": ""float64""}"
cross_section,inflation_cpi_Data,cross-section/data/inflation_cpi_Data.rds,inflation_cpi_Data,265,3,Country Name,Country Code,,25,"[""Country Name"", ""Country Code"", ""Inflation, consumer prices (annual %)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Inflation, consumer prices (annual %)"": ""float64""}"
cross_section,inflation_gdpdeflator_Data,cross-section/data/inflation_gdpdeflator_Data.rds,inflation_gdpdeflator_Data,265,3,Country Name,Country Code,,5,"[""Country Name"", ""Country Code"", ""Inflation, GDP deflator (annual %)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Inflation, GDP deflator (annual %)"": ""float64""}"
cross_section,investment_Data,cross-section/data/investment_Data.rds,investment_Data,265,3,Country Name,Country Code,,41,"[""Country Name"", ""Country Code"", ""Gross capital formation (% of GDP)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Gross capital formation (% of GDP)"": ""float64""}"
cross_section,life_exp_initial_Data,cross-section/data/life_exp_initial_Data.rds,life_exp_initial_Data,265,3,Country Name,Country Code,,7,"[""Country Name"", ""Country Code"", ""Life expectancy at birth in 2010 (years)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Life expectancy at birth in 2010 (years)"": ""float64""}"
cross_section,model_data,cross-section/data/model_data.rds,model_data,162,36,Country Name,Country Code,,194,"[""Country Name"", ""Country Code"", ""GDP_growth"", ""fertility"", ""GDPpc2015"", ""GDPpc"", ""gov_exp"", ""gov_exp_edu"", ""gov_exp_milit"", ""inf_cpi"", ""inf_def"", ""investment"", ""life_exp"", ""education"", ""tot"", ""trade"", ""cc_alt_cp"", ""cc_alt_cp_lv"", ""cc_basic"", ""cc_basic_lv"", ""cc_civil"", ""cc_civil_lv"", ""cc_polit"", ""cc_polit_lv"", ""cc_prop"", ""cc_prop_lv"", ""cc_total"", ""cc_total_lv"", ""dj_index"", ""landlocked"", ""v2x_libdem"", ""v2x_polyarchy"", ""v2x_delibdem"", ""v2x_partipdem"", ""v2x_egaldem"", ""gov_exp_reduced""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""GDP_growth"": ""float64"", ""GDPpc"": ""float64"", ""GDPpc2015"": ""float64"", ""cc_alt_cp"": ""float64"", ""cc_alt_cp_lv"": ""float64"", ""cc_basic"": ""float64"", ""cc_basic_lv"": ""float64"", ""cc_civil"": ""float64"", ""cc_civil_lv"": ""float64"", ""cc_polit"": ""float64"", ""cc_polit_lv"": ""float64"", ""cc_prop"": ""float64"", ""cc_prop_lv"": ""float64"", ""cc_total"": ""float64"", ""cc_total_lv"": ""float64"", ""dj_index"": ""float64"", ""education"": ""float64"", ""fertility"": ""float64"", ""gov_exp"": ""float64"", ""gov_exp_edu"": ""float64"", ""gov_exp_milit"": ""float64"", ""gov_exp_reduced"": ""float64"", ""inf_cpi"": ""float64"", ""inf_def"": ""float64"", ""investment"": ""float64"", ""landlocked"": ""int64"", ""life_exp"": ""float64"", ""tot"": ""float64"", ""trade"": ""float64"", ""v2x_delibdem"": ""float64"", ""v2x_egaldem"": ""float64"", ""v2x_libdem"": ""float64"", ""v2x_partipdem"": ""float64"", ""v2x_polyarchy"": ""float64""}"
cross_section,model_data2,cross-section/data/model_data2.rds,model_data2,158,44,Country Name,Country_Code,,223,"[""Country Name"", ""Country_Code"", ""GDP_growth"", ""fertility"", ""GDPpc2015"", ""GDPpc"", ""gov_exp"", ""gov_exp_edu"", ""gov_exp_milit"", ""inf_cpi"", ""inf_def"", ""investment"", ""life_exp"", ""education"", ""tot"", ""trade"", ""cc_alt_cp"", ""cc_alt_cp_lv"", ""cc_basic"", ""cc_basic_lv"", ""cc_civil"", ""cc_civil_lv"", ""cc_polit"", ""cc_polit_lv"", ""cc_prop"", ""cc_prop_lv"", ""cc_total"", ""cc_total_lv"", ""dj_index"", ""landlocked"", ""v2x_libdem"", ""v2x_polyarchy"", ""v2x_delibdem"", ""v2x_partipdem"", ""v2x_egaldem"", ""gov_exp_reduced"", ""cc_total_growth_yty"", ""cc_basic_growth_yty"", ""cc_polit_growth_yty"", ""cc_prop_growth_yty"", ""cc_total_growth"", ""cc_basic_growth"", ""cc_polit_growth"", ""cc_prop_growth""]","{""Country Name"": ""str"", ""Country_Code"": ""str"", ""GDP_growth"": ""float64"", ""GDPpc"": ""float64"", ""GDPpc2015"": ""float64"", ""cc_alt_cp"": ""float64"", ""cc_alt_cp_lv"": ""float64"", ""cc_basic"": ""float64"", ""cc_basic_growth"": ""float64"", ""cc_basic_growth_yty"": ""float64"", ""cc_basic_lv"": ""float64"", ""cc_civil"": ""float64"", ""cc_civil_lv"": ""float64"", ""cc_polit"": ""float64"", ""cc_polit_growth"": ""float64"", ""cc_polit_growth_yty"": ""float64"", ""cc_polit_lv"": ""float64"", ""cc_prop"": ""float64"", ""cc_prop_growth"": ""float64"", ""cc_prop_growth_yty"": ""float64"", ""cc_prop_lv"": ""float64"", ""cc_total"": ""float64"", ""cc_total_growth"": ""float64"", ""cc_total_growth_yty"": ""float64"", ""cc_total_lv"": ""float64"", ""dj_index"": ""float64"", ""education"": ""float64"", ""fertility"": ""float64"", ""gov_exp"": ""float64"", ""gov_exp_edu"": ""float64"", ""gov_exp_milit"": ""float64"", ""gov_exp_reduced"": ""float64"", ""inf_cpi"": ""float64"", ""inf_def"": ""float64"", ""investment"": ""float64"", ""landlocked"": ""int64"", ""life_exp"": ""float64"", ""tot"": ""float64"", ""trade"": ""float64"", ""v2x_delibdem"": ""float64"", ""v2x_egaldem"": ""float64"", ""v2x_libdem"": ""float64"", ""v2x_partipdem"": ""float64"", ""v2x_polyarchy"": ""float64""}"
